direction,token,train_freq,train_pct,dev_freq,dev_pct,devtest_freq,devtest_pct
ar-hi/ar,بعض,495,0.0917,31,0.0974,14,0.0881
ar-hi/ar,حول,489,0.0906,30,0.0943,11,0.0692
ar-hi/ar,ترامب,485,0.0899,47,0.1477,20,0.1259
ar-hi/ar,دون,481,0.0892,27,0.0849,18,0.1133
ar-hi/ar,الولايات,477,0.0884,32,0.1006,9,0.0567
ar-hi/ar,يمكن,461,0.0854,20,0.0629,9,0.0567
ar-hi/ar,شركة,451,0.0836,65,0.2043,12,0.0755
ar-hi/ar,الحكومة,450,0.0834,29,0.0911,21,0.1322
ar-hi/ar,بنسبة,430,0.0797,53,0.1666,25,0.1574
ar-hi/ar,دولار,429,0.0795,30,0.0943,16,0.1007
ar-hi/ar,بينما,429,0.0795,30,0.0943,14,0.0881
ar-hi/ar,مجلس,427,0.0791,31,0.0974,11,0.0692
ar-hi/ar,رئيس,422,0.0782,33,0.1037,17,0.107
ar-hi/ar,الذين,418,0.0775,17,0.0534,1,0.0063
ar-hi/ar,إذ,413,0.0765,24,0.0754,30,0.1889
ar-hi/ar,إسرائيل,409,0.0758,14,0.044,25,0.1574
ar-hi/ar,عندما,406,0.0753,8,0.0251,6,0.0378
ar-hi/ar,عند,403,0.0747,37,0.1163,9,0.0567
ar-hi/ar,تم,399,0.074,11,0.0346,5,0.0315
ar-hi/ar,هي,398,0.0738,22,0.0691,6,0.0378
ar-hi/ar,الشركة,393,0.0728,44,0.1383,11,0.0692
ar-hi/ar,فيما,387,0.0717,37,0.1163,18,0.1133
ar-hi/ar,فإن,386,0.0715,14,0.044,9,0.0567
ar-hi/ar,أنها,386,0.0715,35,0.11,15,0.0944
ar-hi/ar,إلا,383,0.071,20,0.0629,14,0.0881
ar-hi/ar,إذا,380,0.0704,18,0.0566,6,0.0378
ar-hi/ar,بسبب,379,0.0702,22,0.0691,6,0.0378
ar-hi/ar,جميع,379,0.0702,18,0.0566,11,0.0692
ar-hi/ar,ألف,378,0.0701,23,0.0723,6,0.0378
ar-hi/ar,و,375,0.0695,1,0.0031,0,0.0
ar-hi/ar,الأميركي,374,0.0693,40,0.1257,17,0.107
ar-hi/ar,السعودية,371,0.0688,17,0.0534,49,0.3085
ar-hi/ar,الذكاء,357,0.0662,13,0.0409,8,0.0504
ar-hi/ar,أيضًا,353,0.0654,7,0.022,5,0.0315
ar-hi/ar,قال,353,0.0654,18,0.0566,10,0.063
ar-hi/ar,عدد,351,0.0651,17,0.0534,16,0.1007
ar-hi/ar,وفق,346,0.0641,47,0.1477,11,0.0692
ar-hi/ar,تلك,343,0.0636,13,0.0409,15,0.0944
ar-hi/ar,ومن,338,0.0626,17,0.0534,8,0.0504
ar-hi/ar,أمام,332,0.0615,22,0.0691,24,0.1511
ar-hi/ar,بأن,332,0.0615,18,0.0566,7,0.0441
ar-hi/ar,–,331,0.0614,8,0.0251,6,0.0378
ar-hi/ar,هناك,329,0.061,10,0.0314,7,0.0441
ar-hi/ar,الدول,327,0.0606,11,0.0346,19,0.1196
ar-hi/hi,के,41501,5.3863,2650,5.6442,1332,5.7043
ar-hi/hi,में,23066,2.9937,1425,3.0351,666,2.8521
ar-hi/hi,की,18524,2.4042,1245,2.6517,593,2.5395
ar-hi/hi,और,17507,2.2722,862,1.836,535,2.2911
ar-hi/hi,को,15280,1.9831,898,1.9126,465,1.9913
ar-hi/hi,से,15028,1.9504,891,1.8977,464,1.9871
ar-hi/hi,का,10303,1.3372,607,1.2928,315,1.349
ar-hi/hi,है।,10081,1.3084,644,1.3716,317,1.3575
ar-hi/hi,पर,8846,1.1481,620,1.3205,308,1.319
ar-hi/hi,ने,8472,1.0996,598,1.2737,322,1.379
ar-hi/hi,एक,8210,1.0656,411,0.8754,173,0.7409
ar-hi/hi,कि,7535,0.9779,581,1.2375,247,1.0578
ar-hi/hi,लिए,7217,0.9367,388,0.8264,248,1.0621
ar-hi/hi,"है,",6259,0.8123,418,0.8903,213,0.9122
ar-hi/hi,करने,6248,0.8109,385,0.82,220,0.9421
ar-hi/hi,है,4781,0.6205,274,0.5836,126,0.5396
ar-hi/hi,जो,4277,0.5551,250,0.5325,113,0.4839
ar-hi/hi,यह,4036,0.5238,247,0.5261,85,0.364
ar-hi/hi,इस,3820,0.4958,319,0.6794,143,0.6124
ar-hi/hi,रूप,3737,0.485,212,0.4515,107,0.4582
ar-hi/hi,हैं।,3665,0.4757,171,0.3642,84,0.3597
ar-hi/hi,किया,3426,0.4447,228,0.4856,94,0.4026
ar-hi/hi,कर,3114,0.4042,172,0.3663,85,0.364
